County-equivalent,State,Per capita income 2008,2012,2016
Hardeman,Texas,19829,"35,039","34,290"
Hardeman,Tennessee,14975,"47,666","46,036"
Hardin,Texas,25559,"37,609","40,262"
Hardin,Iowa,25153,"32,264","31,940"
Hardin,Kentucky,24147,"33,412","36,150"
Hardin,Illinois,22366,"40,630","42,744"
Hardin,Tennessee,20127,"51,275","42,720"
Hardin,Ohio,19626,"63,451","46,263"
Harding,New Mexico,25686,"38,769","45,789"
Harding,South Dakota,22247,"40,678","42,670"
Hardy,West Virginia,19032,"27,856","28,475"
Harford,Maryland,35425,"50,753","54,232"
Harlan,Nebraska,25322,"27,038","27,773"
Harlan,Kentucky,16257,"42,863","41,364"
Harmon,Oklahoma,18582,"38,419","35,784"
Harnett,North Carolina,20310,"30,456","32,010"
Harney,Oregon,20865,"35,362","37,685"
Harper,Kansas,22820,"45,584","45,048"
Harper,Oklahoma,22675,"50,365","45,026"
Harris,Georgia,31482,"40,995","43,730"
Harris,Texas,27899,"54,212","52,452"
Harrison,Iowa,26184,"36,504","38,522"
Harrison,West Virginia,23309,"40,404","43,675"
Harrison,Indiana,23244,"31,978","33,979"
Harrison,Texas,23236,"34,016","35,082"
Harrison,Mississippi,22677,"35,663","35,345"
Harrison,Kentucky,21424,"34,935","35,205"
Harrison,Ohio,21029,"40,640","41,146"
Harrison,Missouri,19468,"42,820","42,664"
Harrisonburg City,Virginia,17080,"32,100","33,650"
Hart,Georgia,20371,"30,472","32,262"
Hart,Kentucky,17273,"57,244","59,869"
Hartford,Connecticut,34698,"59,406","53,566"
Hartley,Texas,24566,"37,672","38,364"
Harvey,Kansas,23775,"79,426","63,496"
Haskell,Kansas,25114,"33,403","32,903"
Haskell,Texas,22223,"35,794","34,858"
Haskell,Oklahoma,18896,"34,799","38,392"
Hawaii County,Hawaii,24635,"30,327","32,030"
Hawkins,Tennessee,20662,"72,442","60,719"
Hayes,Nebraska,23749,"36,194","38,912"
Hays,Texas,26873,"34,120","39,183"
Haywood,North Carolina,24536,"28,670","30,274"
Haywood,Tennessee,18714,"27,502","28,406"
Heard,Georgia,18964,"99,056","73,671"
Hemphill,Texas,29544,"29,873","29,930"
Hempstead,Arkansas,17376,"38,582","39,603"
Henderson,Illinois,25902,"35,359","36,794"
Henderson,North Carolina,25670,"36,789","39,002"
Henderson,Kentucky,22746,"31,720","33,476"
Henderson,Texas,21995,"35,832","37,941"
Henderson,Tennessee,20449,"42,119","45,513"
Hendricks,Indiana,29830,"28,352","29,556"
Hendry,Florida,16133,"63,582","67,427"
Hennepin,Minnesota,37485,"55,725","58,876"
Henrico,Virginia,33115,"34,921","36,952"
Henry,Illinois,27117,"33,552","35,985"
Henry,Georgia,25299,"42,424","42,819"
Henry,Ohio,23347,"32,675","35,073"
Henry,Iowa,22687,"36,938","38,163"
Henry,Missouri,22394,"33,465","35,438"
Henry,Tennessee,22239,"38,726","39,462"
Henry,Alabama,21924,"38,122","40,880"
Henry,Kentucky,21923,"36,558","38,593"
Henry,Indiana,20309,"33,557","35,899"
Henry,Virginia,19852,"35,975","37,587"
Herkimer,New York,23418,"32,493","34,413"
Hernando,Florida,21411,"28,780","30,823"
Hertford,North Carolina,17863,"58,463","48,531"
Hettinger,North Dakota,27910,"42,098","36,747"
Hickman,Kentucky,19292,"27,613","30,069"
Hickman,Tennessee,18383,"24,827","26,748"
Hickory,Missouri,17361,"35,903","35,831"
Hidalgo,New Mexico,18392,"23,728","24,805"
Hidalgo,Texas,14222,"30,598","32,541"
Highland,Ohio,19348,"43,628","44,881"
Highland County,Virginia,26372,"30,871","32,135"
Highlands,Florida,20072,"39,525","41,321"
Hill,Montana,21376,"35,805","37,444"
Hill,Texas,21182,"41,742","43,803"
Hillsborough,New Hampshire,34390,"53,427","56,531"
Hillsborough,Florida,27149,"31,482","33,927"
Hillsdale,Michigan,20379,"37,657","38,801"
Hinds,Mississippi,20448,"42,587","44,660"
Hinsdale,Colorado,36365,"40,569","39,289"
Hitchcock,Nebraska,23554,"32,141","34,692"
Hocking,Ohio,21037,"41,685","41,958"
Hockley,Texas,21984,"47,569","45,443"
Hodgeman,Kansas,30440,"28,394","29,215"
Hoke,North Carolina,18761,"25,553","27,421"
Holmes,Ohio,17177,"26,710","28,554"
Holmes,Florida,16845,"34,989","39,056"
Holmes,Mississippi,12113,"47,185","47,314"
Holt,Missouri,24127,"54,593","56,290"
Holt,Nebraska,24120,"50,457","54,229"
Honolulu,Hawaii,30361,"45,898","47,654"
Hood,Texas,30046,"43,543","48,498"
Hood River,Oregon,25181,"54,400","48,804"
Hooker,Nebraska,20737,"53,739","55,511"
Hoonah-Angoon Census Area,Alaska,28806,"36,111","36,460"
Hopewell City,Virginia,20388,"36,230","36,530"
Hopkins,Kentucky,22132,"32,080","33,820"
Hopkins,Texas,21606,"28,503","29,937"
Horry,South Carolina,24002,"48,617","51,302"
Hot Spring,Arkansas,19286,"31,579","33,957"
Hot Springs,Wyoming,26544,"37,182","39,321"
Houghton,Michigan,19783,"38,232","40,656"
Houston,Minnesota,26450,"45,317","47,315"
Houston,Georgia,25195,"30,791","31,806"
Houston,Alabama,23316,"35,173","37,420"
Houston,Texas,19090,"31,761","31,346"
Houston,Tennessee,18539,"36,351","38,610"
Howard,Maryland,48172,"42,786","42,915"
Howard,Nebraska,26770,"68,209","71,869"
Howard,Iowa,24286,"35,473","36,623"
Howard,Indiana,24071,"43,639","44,828"
Howard,Missouri,21598,"35,123","33,483"
Howard,Texas,19965,"30,665","31,423"
Howard,Arkansas,18707,"35,025","38,935"
Howell,Missouri,17416,"51,056","55,986"
Hubbard,Minnesota,24880,"28,357","32,506"
Hudson,New Jersey,32641,"35,182","37,502"
Hudspeth,Texas,14142,"31,750","30,857"
Huerfano,Colorado,24058,"47,152","49,892"
Hughes,South Dakota,30284,"39,787","43,573"
Hughes,Oklahoma,18268,"44,765","46,876"
Humboldt,Iowa,26746,"43,235","43,884"
Humboldt,Nevada,26515,"31,187","31,669"
Humboldt,California,23540,"34,230","36,179"
Humphreys,Tennessee,22183,"33,164","35,083"
Humphreys,Mississippi,12874,"78,301","82,109"
Hunt,Texas,22341,"34,624","37,077"
Hunterdon,New Jersey,50349,"36,583","38,155"
Huntingdon,Pennsylvania,20739,"42,651","43,865"
Huntington,Indiana,22601,"35,626","37,220"
Huron,Ohio,22257,"48,214","50,502"
Huron,Michigan,22120,"40,115","41,422"
Hutchinson,South Dakota,26110,"36,066","36,807"
Hutchinson,Texas,23383,"51,355","45,683"
Hyde,South Dakota,26195,"38,866","34,648"
Hyde,North Carolina,18408,"35,510","36,706"
Iberia,Louisiana,22997,"47,393","48,293"
Iberville,Louisiana,21177,"30,416","32,263"
Ida,Iowa,25869,"31,931","34,122"
Idaho County,Idaho,19168,"31,786","33,964"
Imperial,California,16763,"66,830","68,491"
Independence,Arkansas,20289,"34,492","35,482"
Indian River,Florida,30532,"35,565","37,952"
Indiana County,Pennsylvania,22933,"50,559","55,171"
Ingham,Michigan,24754,"47,678","50,432"
Inyo,California,27441,"29,796","31,467"
Ionia,Michigan,20206,"32,259","34,645"
Iosco,Michigan,22047,"49,026","50,821"
Iowa County,Iowa,28068,"42,310","44,484"
Iowa County,Wisconsin,26625,"42,941","45,817"
Iredell,North Carolina,26467,"70,142","63,937"
Irion,Texas,28055,"35,778","40,312"
Iron,Wisconsin,23324,"30,169","31,847"
Iron,Michigan,21499,"26,038","27,068"
Iron,Missouri,19101,"40,676","44,542"
Iron,Utah,17839,"40,950","41,809"
Iroquois,Illinois,25098,"26,612","28,025"
Irwin,Georgia,18207,"30,892","32,728"
Isabella,Michigan,19061,"37,417","39,909"
Isanti,Minnesota,25482,"47,197","49,741"
Island,Washington,30941,"48,874","51,213"
Isle of Wight,Virginia,30903,"21,513","22,883"
Issaquena,Mississippi,13731,"36,142","38,125"
Itasca,Minnesota,24079,"30,746","31,565"
Itawamba,Mississippi,18106,"28,368","29,557"
Izard,Arkansas,18040,"45,929","36,585"
Jack,Texas,24325,"33,029","34,151"
Jackson,Minnesota,27361,"33,401","33,433"
Jackson,Missouri,26062,"38,824","45,658"
Jackson,Colorado,25936,"28,991","30,632"
Jackson,Iowa,24493,"34,379","37,092"
Jackson,Oregon,24378,"32,524","34,125"
Jackson,Kansas,24117,"38,467","40,241"
Jackson,Mississippi,23879,"39,910","41,966"
Jackson,Texas,23418,"36,958","39,464"
Jackson,Georgia,23247,"24,154","25,395"
Jackson,Oklahoma,22925,"33,521","33,586"
Jackson,Michigan,22613,"34,877","38,331"
Jackson,Indiana,22568,"49,564","49,859"
Jackson,West Virginia,22527,"34,191","35,358"
Jackson,Wisconsin,21849,"40,053","42,621"
Jackson,North Carolina,21014,"30,928","33,134"
Jackson,Illinois,20527,"32,293","33,786"
Jackson,Alabama,20486,"38,200","38,555"
Jackson,South Dakota,20319,"38,706","41,852"
Jackson,Ohio,19405,"28,377","22,718"
Jackson,Louisiana,19188,"27,310","28,273"
Jackson,Tennessee,18387,"40,824","39,344"
Jackson,Florida,17525,"33,413","34,234"
Jackson,Kentucky,15880,"39,233","39,690"
Jackson,Arkansas,15609,"57,028","59,632"
James City County,Virginia,39133,"32,204","34,535"
Jasper,Iowa,24905,"41,205","39,193"
Jasper,Indiana,24297,"40,125","41,197"
Jasper,Illinois,24174,"38,371","39,426"
Jasper,Georgia,21297,"34,897","33,774"
Jasper,Missouri,21124,"34,946","36,598"
Jasper,Texas,20254,"24,735","26,274"
Jasper,Mississippi,18075,"36,258","37,322"
Jasper,South Carolina,17350,"37,866","38,642"
Jay,Indiana,19236,"28,590","33,567"
Jeff Davis,Texas,26958,"35,678","29,789"
Jeff Davis,Georgia,17684,"28,316","28,602"
Jefferson,Colorado,36087,"36,244","36,885"
Jefferson,Montana,30397,"46,366","49,386"
Jefferson,West Virginia,29605,"31,679","33,224"
Jefferson,Washington,28266,"52,759","56,363"
Jefferson,Kentucky,27925,"35,487","37,322"
Jefferson,Iowa,27593,"29,611","32,820"
Jefferson,Louisiana,26908,"29,742","31,276"
Jefferson,Alabama,26906,"36,034","36,765"
Jefferson,Kansas,26280,"36,441","39,220"
Jefferson,Wisconsin,25625,"38,541","39,956"
Jefferson,Missouri,24792,"39,111","41,432"
Jefferson,Nebraska,24777,"44,176","47,361"
Jefferson,Texas,23236,"45,860","47,591"
Jefferson,New York,23078,"30,562","31,772"
Jefferson,Illinois,22620,"36,249","38,254"
Jefferson,Ohio,22324,"41,963","43,540"
Jefferson,Oregon,21593,"48,500","49,774"
Jefferson,Indiana,21524,"42,414","43,711"
Jefferson,Pennsylvania,21300,"34,102","35,342"
Jefferson,Florida,21184,"37,876","33,711"
Jefferson,Tennessee,20619,"30,949","32,670"
Jefferson,Idaho,19598,"37,235","38,222"
Jefferson,Arkansas,19353,"30,827","32,936"
Jefferson,Oklahoma,19042,"40,441","41,813"
Jefferson,Georgia,14757,"46,457","48,625"
Jefferson,Mississippi,12723,"43,733","45,227"
Jefferson Davis,Louisiana,21132,"39,084","41,698"
Jefferson Davis,Mississippi,16216,"37,831","39,358"
Jenkins,Georgia,17565,"29,018","30,498"
Jennings,Indiana,20109,"25,531","27,342"
Jerauld,South Dakota,26590,"33,591","35,567"
Jerome,Idaho,17182,"48,767","45,559"
Jersey,Illinois,25467,"37,047","36,275"
Jessamine,Kentucky,25637,"36,373","37,822"
Jewell,Kansas,23134,"37,089","39,551"
Jim Hogg,Texas,19212,"43,385","46,983"
Jim Wells,Texas,20452,"27,835","27,317"
Jo Daviess,Illinois,29675,"41,597","39,858"
Johnson,Kansas,38827,"45,382","45,829"
Johnson,Iowa,29592,"26,197","26,592"
Johnson,Indiana,28575,"22,894","24,364"
Johnson,Wyoming,28072,"25,589","26,033"
Johnson,Texas,24816,"41,906","44,386"
Johnson,Missouri,21547,"45,612","47,456"
Johnson,Kentucky,19445,"62,044","66,063"
Johnson,Nebraska,19435,"31,178","31,741"
Johnson,Arkansas,19366,"31,704","33,236"
Johnson,Illinois,18763,"38,109","38,867"
Johnson,Georgia,16807,"28,561","32,024"
Johnson,Tennessee,16470,"37,106","38,247"
Johnston,North Carolina,22410,"45,751","43,447"
Johnston,Oklahoma,19967,"34,722","36,604"
Jones,Iowa,26762,"31,498","31,731"
Jones,Georgia,24485,"32,592","35,176"
Jones,South Dakota,23377,"22,567","25,098"
Jones,North Carolina,20105,"28,900","32,457"
Jones,Mississippi,19519,"38,518","41,144"
Jones,Texas,14827,"37,068","36,035"
Josephine,Oregon,21791,"36,526","37,039"
Juab,Utah,18108,"59,886","47,662"
Judith Basin,Montana,24260,"29,332","29,703"
Juneau,Alaska,37558,"45,980","50,432"
Juneau,Wisconsin,23343,"34,425","37,109"
Juniata,Pennsylvania,21628,"29,605","32,829"
Kalamazoo,Michigan,25757,"46,780","48,981"
Kalawao,Hawaii,45515,"35,442","37,345"
Kalkaska,Michigan,20258,"61,792","63,070"
Kanabec,Minnesota,22291,"36,245","38,715"
Kanawha,West Virginia,28174,"41,208","44,729"
Kandiyohi,Minnesota,26880,"31,094","32,456"
Kane,Illinois,30082,"35,503","39,122"
Kane,Utah,24154,"42,713","44,060"
Kankakee,Illinois,23779,"46,663","51,006"
Karnes,Texas,19899,"43,736","46,202"
Kauai,Hawaii,26658,"34,458","37,134"
Kaufman,Texas,24954,"35,948","38,171"
Kay,Oklahoma,22207,"46,494","48,791"
Kearney,Nebraska,27796,"40,841","43,585"
Kearny,Kansas,22292,"36,896","38,661"
Keith,Nebraska,25097,"38,246","38,816"
Kemper,Mississippi,13795,"85,491","76,225"
Kenai Peninsula,Alaska,31256,"54,146","52,306"
Kendall,Texas,35827,"43,706","45,190"
Kendall,Illinois,31276,"27,580","27,871"
Kenedy,Texas,15157,"51,828","50,691"
Kennebec,Maine,25770,"42,034","44,552"
Kenosha,Wisconsin,26514,"74,460","77,002"
Kent,Rhode Island,33814,"53,853","41,349"
Kent,Maryland,31502,"40,003","42,194"
Kent,Michigan,25889,"39,359","42,368"
Kent,Delaware,24851,"36,704","38,498"
Kent,Texas,24839,"51,403","54,641"
Kenton,Kentucky,27704,"46,349","49,599"
Keokuk,Iowa,22243,"51,372","54,832"
Kern,California,20295,"47,001","41,662"
Kerr,Texas,26334,"47,953","51,115"
Kershaw,South Carolina,22638,"43,903","42,917"
Ketchikan Gateway,Alaska,31589,"37,090","37,714"
Kewaunee,Wisconsin,25282,"44,804","45,196"
Keweenaw,Michigan,24802,"35,601","38,417"
Keya Paha,Nebraska,25251,"61,059","63,222"
Kidder,North Dakota,28904,"42,640","42,867"
Kimball,Nebraska,24565,"36,796","40,622"
Kimble,Texas,27502,"77,576","70,751"
King,Washington,39911,"50,792","54,188"
King,Texas,29836,"48,082","43,846"
King and Queen,Virginia,23868,"40,658","41,201"
King George,Virginia,34234,"75,341","41,779"
King William,Virginia,26940,"71,882","77,213"
Kingfisher,Oklahoma,25773,"34,304","39,615"
Kingman,Kansas,24026,"48,858","52,212"
Kings,New York,25289,"40,831","43,562"
Kings,California,18429,"47,810","46,079"
Kingsbury,South Dakota,27485,"41,279","41,795"
Kinney,Texas,16700,"32,860","34,287"
Kiowa,Oklahoma,23576,"41,036","44,502"
Kiowa,Kansas,23232,"47,764","49,160"
Kiowa,Colorado,22482,"30,591","29,350"
Kit Carson,Colorado,21850,"50,434","51,194"
Kitsap,Washington,31769,"35,685","39,064"
Kittitas,Washington,22796,"34,189","31,786"
Kittson,Minnesota,26927,"34,226","33,278"
Klamath,Oregon,21489,"47,196","49,709"
Kleberg,Texas,18918,"38,119","40,161"
Klickitat,Washington,22229,"55,299","57,735"
Knott,Kentucky,18448,"33,273","36,043"
Knox,Tennessee,28136,"35,292","35,066"
Knox,Maine,27865,"42,831","45,595"
Knox,Nebraska,25214,"27,757","28,035"
Knox,Ohio,23878,"37,133","38,438"
Knox,Illinois,22093,"41,275","42,513"
Knox,Indiana,21047,"26,357","26,734"
Knox,Missouri,20946,"41,881","46,275"
Knox,Texas,19396,"41,038","35,941"
Knox,Kentucky,14367,"46,479","44,368"
Kodiak Island,Alaska,28562,"38,135","39,641"
Koochiching,Minnesota,26045,"42,912","46,305"
Kootenai,Idaho,24685,"39,203","33,784"
Kosciusko,Indiana,24881,"56,761","58,843"
Kossuth,Iowa,29127,"35,678","37,209"
Kusilvak Census Area,Alaska,11210,"37,376","39,820"
La Crosse,Wisconsin,26271,"40,781","42,278"
La Paz,Arizona,22200,"49,276","49,180"
La Plata,Colorado,30151,"30,348","31,301"
La Salle,Louisiana,22481,"43,259","45,731"
La Salle,Texas,13307,"28,648","31,781"
Labette,Kansas,22394,"53,991","51,117"
Lac qui Parle,Minnesota,28014,"54,393","45,720"
Lackawanna,Pennsylvania,25594,"39,470","41,233"
Laclede,Missouri,19553,"50,669","54,426"
Lafayette,Louisiana,28901,"40,923","43,616"
Lafayette,Missouri,23637,"31,150","32,640"
Lafayette,Wisconsin,23483,"34,234","33,009"
Lafayette,Mississippi,21388,"22,760","21,736"
Lafayette,Florida,18660,"51,545","44,347"
Lafayette,Arkansas,17212,"34,388","37,825"
Lafourche,Louisiana,24798,"36,988","38,648"
LaGrange,Indiana,19356,"41,851","42,877"
Lake,Illinois,38018,"47,802","43,752"
Lake,Ohio,29132,"32,863","33,960"
Lake,Minnesota,27883,"35,979","39,930"
Lake,South Dakota,27015,"31,191","33,575"
Lake,Colorado,25029,"36,432","38,266"
Lake,Florida,24183,"68,168","72,956"
Lake,Indiana,23918,"37,906","40,628"
Lake,Oregon,22056,"28,222","30,452"
Lake,California,21537,"41,705","43,168"
Lake,Montana,21521,"31,806","34,183"
Lake,Michigan,16202,"44,354","46,192"
Lake,Tennessee,12042,"35,367","37,571"
Lake and Peninsula,Alaska,21616,"53,352","53,278"
Lake of the Woods,Minnesota,21903,"23,887","23,894"
Lamar,Mississippi,26345,"52,350","54,491"
Lamar,Texas,21468,"41,754","44,756"
Lamar,Alabama,19026,"29,275","30,954"
Lamar,Georgia,18800,"28,877","30,651"
Lamb,Texas,18744,"33,627","36,639"
Lamoille,Vermont,27157,"35,623","38,518"
LaMoure,North Dakota,31989,"38,210","37,483"
Lampasas,Texas,23423,"46,672","49,571"
Lancaster,Virginia,30737,"56,922","60,586"
Lancaster,Nebraska,27141,"46,491","46,808"
Lancaster,Pennsylvania,26496,"43,215","45,484"
Lancaster,South Carolina,21003,"42,959","45,839"
Lander,Nevada,29800,"36,332","40,941"
Lane,Kansas,31694,"48,926","51,821"
Lane,Oregon,24224,"50,905","53,264"
Langlade,Wisconsin,22974,"80,225","76,238"
Lanier,Georgia,17264,"37,914","41,027"
Lapeer,Michigan,23907,"38,530","40,940"
LaPorte,Indiana,22852,"23,453","24,964"
Laramie,Wyoming,28505,"36,489","39,449"
Larimer,Colorado,30740,"36,099","38,216"
LaRue,Kentucky,19611,"49,387","49,763"
Las Animas,Colorado,22180,"44,503","47,117"
LaSalle,Illinois,25709,"31,418","33,595"
Lassen,California,19931,"36,582","37,032"
Latah,Idaho,22322,"38,953","40,616"
Latimer,Oklahoma,22603,"37,388","33,593"
Lauderdale,Alabama,23510,"33,257","37,446"
Lauderdale,Mississippi,21346,"35,054","37,996"
Lauderdale,Tennessee,15758,"32,700","32,302"
Laurel,Kentucky,19923,"34,195","35,485"
Laurens,South Carolina,19153,"34,661","36,180"
Laurens,Georgia,18625,"25,641","26,994"
Lavaca,Texas,24299,"30,583","32,730"
Lawrence,South Dakota,27498,"31,366","34,611"
Lawrence,Pennsylvania,22906,"30,312","32,000"
Lawrence,Indiana,22169,"49,124","46,227"
Lawrence,Ohio,21365,"31,724","31,245"
Lawrence,Mississippi,20655,"30,221","32,104"
Lawrence,Alabama,20181,"37,654","34,116"
Lawrence,Tennessee,19136,"34,334","36,969"
Lawrence,Missouri,19060,"27,664","28,723"
Lawrence,Kentucky,17960,"32,305","31,403"
Lawrence,Arkansas,15971,"30,534","30,906"
Lawrence,Illinois,14147,"33,324","34,996"
Le Flore,Oklahoma,18141,"38,288","40,061"
Le Sueur,Minnesota,27793,"42,325","44,670"
Lea,New Mexico,22484,"30,401","31,868"
Leake,Mississippi,16780,"30,724","31,029"
Leavenworth,Kansas,27017,"42,318","44,382"
Lebanon,Pennsylvania,27074,"37,945","33,371"
Lee,Florida,27348,"28,648","27,118"
Lee,Georgia,26357,"37,974","40,194"
Lee,Illinois,25409,"41,459","43,576"
Lee,Texas,25123,"32,511","34,372"
Lee,Alabama,23506,"26,675","27,395"
Lee,Iowa,22649,"44,104","45,768"
Lee,Mississippi,21799,"41,207","43,364"
Lee,North Carolina,21449,"37,973","38,575"
Lee,Virginia,16664,"37,117","39,714"
Lee,South Carolina,14740,"28,145","29,449"
Lee,Kentucky,13969,"35,857","37,821"
Lee,Arkansas,12529,"34,522","37,346"
Leelanau,Michigan,31462,"24,868","28,172"
Leflore,Mississippi,14307,"45,665","45,276"
Lehigh,Pennsylvania,27923,"26,257","28,013"
Lemhi,Idaho,23998,"59,121","59,943"
Lenawee,Michigan,22395,"31,181","33,273"
Lenoir,North Carolina,19760,"46,026","48,834"
Leon,Florida,26196,"35,810","37,885"
Leon,Texas,24170,"33,948","36,918"
Leslie,Kentucky,16424,"36,470","38,559"
Letcher,Kentucky,17886,"38,522","40,758"
Levy,Florida,18304,"41,061","39,459"
Lewis,New York,22942,"28,609","29,820"
Lewis,Washington,22212,"29,358","29,724"
Lewis,West Virginia,21175,"31,346","32,883"
Lewis,Idaho,19910,"43,450","46,986"
Lewis,Missouri,19317,"27,116","28,410"
Lewis,Tennessee,17751,"33,680","31,787"
Lewis,Kentucky,16132,"40,376","40,185"
Lewis and Clark,Montana,28400,"28,002","30,567"
Lexington,South Carolina,26886,"36,344","38,586"
Lexington City,Virginia,14763,"36,468","35,314"
Liberty,Montana,25522,"42,835","44,733"
Liberty,Georgia,20791,"39,876","42,843"
Liberty,Texas,19740,"24,890","26,066"
Liberty,Florida,16266,"31,523","34,404"
Licking,Ohio,26716,"36,413","34,038"
Limestone,Alabama,25020,"34,109","34,631"
Limestone,Texas,19352,"39,957","42,217"
Lincoln,South Dakota,34839,"36,309","37,913"
Lincoln,Maine,28070,"32,592","33,135"
Lincoln,Minnesota,26767,"24,964","25,132"
Lincoln,Nebraska,26188,"33,059","31,348"
Lincoln,Wyoming,25834,"31,923","34,167"
Lincoln,Washington,25816,"35,672","34,543"
Lincoln,North Carolina,25550,"40,079","39,976"
Lincoln,New Mexico,25449,"27,842","29,104"
Lincoln,Oregon,25194,"34,247","36,585"
Lincoln,Wisconsin,24669,"43,506","46,231"
Lincoln,Kansas,23686,"45,517","46,011"
Lincoln,Nevada,22879,"35,222","36,207"
Lincoln,Missouri,22063,"33,991","36,296"
Lincoln,Oklahoma,21888,"31,241","33,464"
Lincoln,Tennessee,21811,"45,983","47,120"
Lincoln,Montana,21719,"27,060","29,698"
Lincoln,Georgia,20641,"38,266","41,532"
Lincoln,Louisiana,20633,"37,831","40,591"
Lincoln,Colorado,19703,"34,336","33,855"
Lincoln,Mississippi,19566,"37,602","39,665"
Lincoln,West Virginia,18458,"58,599","63,203"
Lincoln,Kentucky,17420,"36,157","37,660"
Lincoln,Idaho,16530,"42,965","46,053"
Lincoln,Arkansas,15023,"27,024","27,377"
Linn,Iowa,29943,"38,452","41,410"
Linn,Kansas,26224,"38,517","39,357"
Linn,Oregon,21500,"46,851","49,002"
Linn,Missouri,21015,"32,233","33,534"
Lipscomb,Texas,29017,"36,954","38,421"
Litchfield,Connecticut,37667,"35,438","38,365"
Little River,Arkansas,19880,"53,725","55,113"
Live Oak,Texas,21016,"56,272","59,568"
Livingston,Michigan,32129,"32,319","33,145"
Livingston,Louisiana,25076,"45,533","40,899"
Livingston,Illinois,24952,"41,512","40,451"
Livingston,New York,23978,"33,535","34,443"
Livingston,Missouri,21011,"36,804","38,031"
Livingston,Kentucky,19795,"47,174","51,722"
Llano,Texas,33634,"34,385","34,621"
Logan,North Dakota,27887,"36,457","38,284"
Logan,Oklahoma,25620,"44,963","45,385"
Logan,Kansas,25328,"38,234","33,299"
Logan,Ohio,22878,"37,900","42,135"
Logan,Nebraska,22799,"34,502","46,730"
Logan,Colorado,22581,"46,148","35,353"
Logan,Illinois,21445,"34,711","45,629"
Logan,West Virginia,19901,"48,165","35,003"
Logan,Kentucky,19143,"33,420","47,649"
Logan,Arkansas,19046,"52,278","52,089"
Long,Georgia,17158,"56,991","38,815"
Lonoke,Arkansas,23218,"37,287","37,519"
Lorain,Ohio,26030,"38,886","32,950"
Los Alamos,New Mexico,51044,"32,216","22,599"
Los Angeles,California,27749,"21,762","36,742"
Loudon,Tennessee,27045,"35,041","42,089"
Loudoun,Virginia,46565,"39,993","65,494"
Louisa,Virginia,26956,"63,701","55,624"
Louisa,Iowa,24272,"51,111","43,868"
Loup,Nebraska,21499,"41,231","71,218"
Love,Oklahoma,19910,"67,577","37,500"
Loving,Texas,34068,"36,343","42,721"
Lowndes,Mississippi,20951,"40,118","59,289"
Lowndes,Georgia,18897,"71,360","36,337"
Lowndes,Alabama,18368,"35,852","39,221"
Lubbock,Texas,23773,"32,690","37,049"
Lucas,Ohio,23885,"36,811","34,088"
Lucas,Iowa,21126,"32,158","37,446"
Luce,Michigan,18768,"36,329","38,757"
Lumpkin,Georgia,20908,"37,652","40,378"
Luna,New Mexico,16114,"38,308","43,493"
Lunenburg,Virginia,17630,"40,385","29,579"
Luzerne,Pennsylvania,24793,"26,836","32,972"
Lycoming,Pennsylvania,22987,"30,603","30,751"
Lyman,South Dakota,20586,"28,615","31,256"
Lynchburg City,Virginia,21440,"29,964","41,809"
Lynn,Texas,21639,"39,149","40,185"
Lyon,Minnesota,26028,"39,973","37,577"
Lyon,Iowa,23683,"38,963","37,224"
Lyon,Kentucky,22123,"32,026","55,312"
Lyon,Nevada,21757,"57,437","34,653"
Lyon,Kansas,19789,"32,605","31,560"
Mackinac,Michigan,22622,"28,577","44,580"
Macomb,Michigan,26748,"44,250","33,621"
Macon,Illinois,26232,"31,323","40,589"
Macon,North Carolina,23213,"36,662","43,328"
Macon,Missouri,20054,"39,660","31,579"
Macon,Tennessee,17009,"29,953","29,136"
Macon,Alabama,16826,"28,176","44,507"
Macon,Georgia,13865,"43,037","37,678"
Macoupin,Illinois,24658,"33,694","36,746"
Madera,California,17847,"34,561","30,401"
Madison,Mississippi,33170,"29,500","37,155"
Madison,Montana,33062,"35,858","37,529"
Madison,Alabama,31933,"34,973","47,095"
Madison,Iowa,27685,"44,554","31,416"
Madison,Illinois,27407,"31,696","29,557"
Madison,Virginia,27296,"28,521","32,867"
Madison,New York,25230,"31,165","24,054"
Madison,Nebraska,24593,"22,169","42,540"
Madison,Ohio,24014,"40,450","35,953"
Madison,Tennessee,23283,"33,491","44,354"
Madison,Kentucky,21800,"43,054","33,139"
Madison,Indiana,21527,"32,173","29,396"
Madison,Georgia,19939,"27,899","57,932"
Madison,North Carolina,19902,"57,278","33,325"
Madison,Arkansas,18754,"32,355","48,748"
Madison,Missouri,17316,"42,289","45,673"
Madison,Florida,15538,"43,893","40,086"
Madison,Idaho,15133,"38,069","31,022"
Madison,Texas,15131,"28,791","38,211"
Madison,Louisiana,13585,"36,017","40,101"
Magoffin,Kentucky,15118,"36,158","30,114"
Mahaska,Iowa,23788,"32,817","47,435"
Mahnomen,Minnesota,19517,"42,571","24,379"
Mahoning,Ohio,23975,"24,132","38,917"
Major,Oklahoma,27168,"37,941","35,129"
Malheur,Oregon,16352,"34,231","40,456"
Manassas City,Virginia,28752,"38,954","36,927"
Manassas Park City,Virginia,26944,"49,002","29,714"
Manatee,Florida,27322,"28,257","44,158"
Manistee,Michigan,22702,"41,673","37,326"
Manitowoc,Wisconsin,25825,"33,916","45,433"
Marathon,Wisconsin,27607,"43,776","45,076"
