County-equivalent,State,Per capita income 2008,2012,2016
Burlington,New Jersey,36835,"52,843","56,812"
Burnet,Texas,24998,"43,189","43,667"
Burnett,Wisconsin,22843,"36,554","38,987"
Burt,Nebraska,25203,"48,142","48,886"
Butler,Pennsylvania,30957,"32,724","33,694"
Butler,Nebraska,27673,"43,980","44,540"
Butler,Kansas,27329,"41,234","42,413"
Butler,Ohio,26813,"30,985","31,967"
Butler,Iowa,25269,"33,287","34,428"
Butler,Missouri,19246,"44,759","45,213"
Butler,Kentucky,18136,"40,145","42,620"
Butler,Alabama,17403,"49,708","52,698"
Butte,California,23787,"37,713","41,725"
Butte,South Dakota,21744,"32,473","35,479"
Butte,Idaho,20995,"33,953","33,108"
Butts,Georgia,20363,"28,470","30,948"
Cabarrus,North Carolina,25247,"38,104","41,103"
Cabell,West Virginia,23647,"37,193","38,676"
Cache,Utah,20074,"31,134","33,896"
Caddo,Louisiana,24308,"47,465","47,987"
Caddo,Oklahoma,17858,"30,946","29,591"
Calaveras,California,29329,"43,749","48,559"
Calcasieu,Louisiana,24355,"40,508","44,743"
Caldwell,Louisiana,22782,"32,903","34,629"
Caldwell,Missouri,21482,"35,018","35,155"
Caldwell,Kentucky,20327,"32,737","33,726"
Caldwell,Texas,19673,"30,059","32,508"
Caldwell,North Carolina,19228,"29,648","31,429"
Caledonia,Vermont,23584,"36,986","39,282"
Calhoun,Illinois,26924,"32,445","34,401"
Calhoun,Iowa,25766,"29,139","31,737"
Calhoun,Texas,23381,"23,443","24,768"
Calhoun,South Carolina,23023,"24,409","26,741"
Calhoun,Michigan,22978,"35,339","36,878"
Calhoun,Alabama,20828,"47,146","45,833"
Calhoun,West Virginia,18053,"35,129","38,086"
Calhoun,Arkansas,17763,"28,307","30,782"
Calhoun,Mississippi,17034,"32,596","35,435"
Calhoun,Georgia,14868,"37,990","36,332"
Calhoun,Florida,14675,"28,208","26,978"
Callahan,Texas,22855,"37,194","36,353"
Callaway,Missouri,23171,"34,061","35,473"
Calloway,Kentucky,21490,"32,944","33,745"
Calumet,Wisconsin,28907,"43,819","45,569"
Calvert,Maryland,38260,"53,995","57,688"
Camas,Idaho,21830,"40,118","37,328"
Cambria,Pennsylvania,22659,"37,129","39,322"
Camden,New Jersey,30592,"31,383","33,102"
Camden,North Carolina,25620,"33,608","35,483"
Camden,Missouri,23038,"46,195","49,392"
Camden,Georgia,22701,"39,774","41,865"
Cameron,Louisiana,29559,"45,311","44,621"
Cameron,Pennsylvania,22747,"43,057","43,879"
Cameron,Texas,14710,"25,706","27,055"
Camp,Texas,19176,"36,344","36,948"
Campbell,Wyoming,33850,"41,903","44,008"
Campbell,Kentucky,26945,"49,137","42,612"
Campbell,South Dakota,24152,"29,560","32,077"
Campbell,Virginia,23231,"55,178","48,507"
Campbell,Tennessee,16812,"35,073","35,818"
Canadian,Oklahoma,27552,"43,358","41,922"
Candler,Georgia,17974,"26,667","28,191"
Cannon,Tennessee,20566,"31,838","33,597"
Canyon,Idaho,17755,"27,664","29,305"
Cape Girardeau,Missouri,23751,"39,078","41,245"
Cape May,New Jersey,32948,"50,710","54,865"
Carbon,Montana,27599,"41,113","42,153"
Carbon,Wyoming,25947,"41,904","45,622"
Carbon,Pennsylvania,24861,"33,539","34,149"
Carbon,Utah,20155,"48,405","49,195"
Caribou,Idaho,23586,"36,962","38,319"
Carlisle,Kentucky,21500,"41,663","39,708"
Carlton,Minnesota,24434,"36,734","38,403"
Caroline,Virginia,25718,"41,378","43,187"
Caroline,Maryland,25211,"36,509","41,318"
Carroll,Maryland,36153,"31,400","31,339"
Carroll,New Hampshire,31558,"32,517","34,723"
Carroll,Illinois,27118,"41,326","41,616"
Carroll,Iowa,25430,"39,203","40,266"
Carroll,Indiana,24531,"48,714","48,514"
Carroll,Missouri,24073,"39,591","38,716"
Carroll,Ohio,21783,"53,910","57,687"
Carroll,Georgia,21227,"31,556","33,457"
Carroll,Arkansas,20637,"47,098","47,965"
Carroll,Kentucky,19429,"49,483","53,462"
Carroll,Virginia,19385,"34,822","36,171"
